"Date","Key","Value"
2020-02-27,"Total",1
2020-02-27,"Hospitalised",0
2020-02-27,"In ICU",0
2020-02-27,"Dead",0
2020-02-27,"Clusters",0
2020-02-27,"Healthcare",0
2020-02-27,"Median Age",0
2020-03-01,"Total",2
2020-03-01,"Hospitalised",0
2020-03-01,"In ICU",0
2020-03-01,"Dead",0
2020-03-01,"Clusters",0
2020-03-01,"Healthcare",0
2020-03-01,"Median Age",0
2020-03-02,"Total",6
2020-03-02,"Hospitalised",0
2020-03-02,"In ICU",0
2020-03-02,"Dead",0
2020-03-02,"Clusters",0
2020-03-02,"Healthcare",0
2020-03-02,"Median Age",0
2020-03-03,"Total",13
2020-03-03,"Hospitalised",0
2020-03-03,"In ICU",0
2020-03-03,"Dead",0
2020-03-03,"Clusters",0
2020-03-03,"Healthcare",0
2020-03-03,"Median Age",0
2020-03-04,"Total",18
2020-03-04,"Hospitalised",0
2020-03-04,"In ICU",0
2020-03-04,"Dead",0
2020-03-04,"Clusters",0
2020-03-04,"Healthcare",0
2020-03-04,"Median Age",0
2020-03-05,"Total",19
2020-03-05,"Hospitalised",0
2020-03-05,"In ICU",0
2020-03-05,"Dead",0
2020-03-05,"Clusters",0
2020-03-05,"Healthcare",0
2020-03-05,"Median Age",0
2020-03-06,"Total",21
2020-03-06,"Hospitalised",0
2020-03-06,"In ICU",0
2020-03-06,"Dead",0
2020-03-06,"Clusters",0
2020-03-06,"Healthcare",0
2020-03-06,"Median Age",0
2020-03-07,"Total",24
2020-03-07,"Hospitalised",0
2020-03-07,"In ICU",0
2020-03-07,"Dead",0
2020-03-07,"Clusters",0
2020-03-07,"Healthcare",0
2020-03-07,"Median Age",0
2020-03-08,"Total",34
2020-03-08,"Hospitalised",0
2020-03-08,"In ICU",0
2020-03-08,"Dead",0
2020-03-08,"Clusters",0
2020-03-08,"Healthcare",0
2020-03-08,"Median Age",0
2020-03-09,"Total",43
2020-03-09,"Hospitalised",0
2020-03-09,"In ICU",0
2020-03-09,"Dead",1
2020-03-09,"Clusters",0
2020-03-09,"Healthcare",0
2020-03-09,"Median Age",0
2020-03-10,"Total",70
2020-03-10,"Hospitalised",0
2020-03-10,"In ICU",0
2020-03-10,"Dead",1
2020-03-10,"Clusters",0
2020-03-10,"Healthcare",0
2020-03-10,"Median Age",0
2020-03-11,"Total",90
2020-03-11,"Hospitalised",0
2020-03-11,"In ICU",0
2020-03-11,"Dead",1
2020-03-11,"Clusters",0
2020-03-11,"Healthcare",0
2020-03-11,"Median Age",0
2020-03-12,"Total",129
2020-03-12,"Hospitalised",0
2020-03-12,"In ICU",0
2020-03-12,"Dead",2
2020-03-12,"Clusters",0
2020-03-12,"Healthcare",0
2020-03-12,"Median Age",0
2020-03-13,"Total",169
2020-03-13,"Hospitalised",0
2020-03-13,"In ICU",0
2020-03-13,"Dead",2
2020-03-13,"Clusters",0
2020-03-13,"Healthcare",0
2020-03-13,"Median Age",0
2020-03-14,"Total",223
2020-03-14,"Hospitalised",0
2020-03-14,"In ICU",0
2020-03-14,"Dead",2
2020-03-14,"Clusters",0
2020-03-14,"Healthcare",0
2020-03-14,"Median Age",0
2020-03-15,"Total",292
2020-03-15,"Hospitalised",0
2020-03-15,"In ICU",0
2020-03-15,"Dead",2
2020-03-15,"Clusters",0
2020-03-15,"Healthcare",0
2020-03-15,"Median Age",0
2020-03-16,"Total",366
2020-03-16,"Hospitalised",84
2020-03-16,"In ICU",6
2020-03-16,"Dead",2
2020-03-16,"Clusters",23
2020-03-16,"Healthcare",59
2020-03-16,"Median Age",0
2020-03-17,"Total",557
2020-03-17,"Hospitalised",108
2020-03-17,"In ICU",7
2020-03-17,"Dead",3
2020-03-17,"Clusters",26
2020-03-17,"Healthcare",84
2020-03-17,"Median Age",43
2020-03-18,"Total",683
2020-03-18,"Hospitalised",140
2020-03-18,"In ICU",12
2020-03-18,"Dead",3
2020-03-18,"Clusters",27
2020-03-18,"Healthcare",114
2020-03-18,"Median Age",44
2020-03-19,"Total",785
2020-03-19,"Hospitalised",173
2020-03-19,"In ICU",13
2020-03-19,"Dead",3
2020-03-19,"Clusters",29
2020-03-19,"Healthcare",147
2020-03-19,"Median Age",44
2020-03-20,"Total",906
2020-03-20,"Hospitalised",211
2020-03-20,"In ICU",17
2020-03-20,"Dead",4
2020-03-20,"Clusters",35
2020-03-20,"Healthcare",159
2020-03-20,"Median Age",44
2020-03-20,"In Clusters",190
2020-03-20,"Imported",167
2020-03-21,"Total",1125
2020-03-21,"Hospitalised",239
2020-03-21,"In ICU",25
2020-03-21,"Dead",6
2020-03-21,"Clusters",37
2020-03-21,"Healthcare",208
2020-03-21,"Median Age",44
2020-03-21,"In Clusters",210
2020-03-21,"Imported",185
2020-03-22,"Total",1329
2020-03-22,"Hospitalised",277
2020-03-22,"In ICU",36
2020-03-22,"Dead",7
2020-03-22,"Clusters",44
2020-03-22,"Healthcare",247
2020-03-22,"Median Age",45
2020-03-22,"In Clusters",243
2020-03-22,"Imported",201
2020-03-23,"Total",1564
2020-03-23,"Hospitalised",305
2020-03-23,"In ICU",39
2020-03-23,"Dead",9
2020-03-23,"Clusters",63
2020-03-23,"Healthcare",283
2020-03-23,"Median Age",45
2020-03-23,"In Clusters",289
2020-03-23,"Imported",210
2020-03-24,"Total",1819
2020-03-24,"Hospitalised",340
2020-03-24,"In ICU",47
2020-03-24,"Dead",19
2020-03-24,"Clusters",66
2020-03-24,"Healthcare",321
2020-03-24,"Median Age",46
2020-03-24,"In Clusters",295
2020-03-24,"Imported",227
2020-03-25,"Total",2121
2020-03-25,"Hospitalised",419
2020-03-25,"In ICU",59
2020-03-25,"Dead",22
2020-03-25,"Clusters",79
2020-03-25,"Healthcare",375
2020-03-25,"Median Age",46
2020-03-25,"In Clusters",317
2020-03-25,"Imported",239
2020-03-26,"Total",2415
2020-03-26,"Hospitalised",489
2020-03-26,"In ICU",67
2020-03-26,"Dead",36
2020-03-26,"Clusters",91
2020-03-26,"Healthcare",445
2020-03-26,"Median Age",46
2020-03-26,"In Clusters",351
2020-03-26,"Imported",254
2020-03-27,"Total",2615
2020-03-27,"Hospitalised",564
2020-03-27,"In ICU",77
2020-03-27,"Dead",46
2020-03-27,"Clusters",103
2020-03-27,"Healthcare",506
2020-03-27,"Median Age",47
2020-03-27,"In Clusters",379
2020-03-27,"Imported",262
2020-03-28,"Total",2910
2020-03-28,"Hospitalised",645
2020-03-28,"In ICU",84
2020-03-28,"Dead",54
2020-03-28,"Clusters",111
2020-03-28,"Healthcare",578
2020-03-28,"Median Age",47
2020-03-28,"In Clusters",428
2020-03-28,"Imported",275
2020-03-29,"Total",3235
2020-03-29,"Hospitalised",703
2020-03-29,"In ICU",113
2020-03-29,"Dead",71
2020-03-29,"Clusters",118
2020-03-29,"Healthcare",674
2020-03-29,"Median Age",47
2020-03-29,"In Clusters",494
2020-03-29,"Imported",294
2020-03-30,"Total",3447
2020-03-30,"Hospitalised",834
2020-03-30,"In ICU",126
2020-03-30,"Dead",85
2020-03-30,"Clusters",134
2020-03-30,"Healthcare",752
2020-03-30,"Median Age",48
2020-03-30,"In Clusters",563
2020-03-30,"Imported",303
2020-03-31,"Total",3849
2020-03-31,"Hospitalised",932
2020-03-31,"In ICU",134
2020-03-31,"Dead",98
2020-03-31,"Clusters",160
2020-03-31,"Healthcare",841
2020-03-31,"Median Age",48
2020-03-31,"In Clusters",659
2020-03-31,"Imported",307
2020-04-01,"Total",4273
2020-04-01,"Hospitalised",1039
2020-04-01,"In ICU",148
2020-04-01,"Dead",120
2020-04-01,"Clusters",171
2020-04-01,"Healthcare",948
2020-04-01,"Median Age",48
2020-04-01,"In Clusters",626
2020-04-01,"Imported",311
2020-04-02,"Total",4604
2020-04-02,"Hospitalised",1118
2020-04-02,"In ICU",158
2020-04-02,"Dead",137
2020-04-02,"Clusters",206
2020-04-02,"Healthcare",1084
2020-04-02,"Median Age",48
2020-04-02,"In Clusters",838
2020-04-02,"Imported",316
2020-04-03,"Total",4994
2020-04-03,"Hospitalised",1203
2020-04-03,"In ICU",165
